关键词,分类,属性标签,词频,建议动作,搜索量,竞争度,PPC竞价(USD)
金色摆件,一级核心词,-,1,仅Listing嵌入,12000,高,1.20
树脂摆件 金色,二级属性词,功能:树脂,1,建议投放,5800,中,0.85
金属摆件 客厅,二级属性词,功能:金属; 场景:客厅,1,建议投放,3200,中,0.90
小户型金色玄关摆件,三级场景词,场景:玄关,1,建议投放,450,低,0.55
轻奢风桌面装饰品,二级属性词,场景:桌面,1,建议投放,6800,高,1.10
情人节礼物 金色烛台,三级场景词,-,1,建议投放,2100,低,0.60
宜家摆件同款,品牌词,-,1,建议投放,7500,高,1.50
ins风摆件 金色 床头柜,竞品词,-,1,建议投放,3900,中,0.70
金色花盆 桌面 防摔,三级场景词,场景:桌面,1,建议投放,280,低,0.40
2026新款 金色 摆件,三级场景词,-,1,建议投放,5600,中,0.95
金色台灯 镂空,二级属性词,功能:镂空,1,建议投放,1400,中,0.75
新居乔迁 礼物 金色 壁挂,二级属性词,"规格:壁挂; 人群:乔迁,新居",1,建议投放,320,低,0.35
金色相框 复古,一级核心词,-,1,仅Listing嵌入,8600,高,1.30
出租屋 桌面 金色 摆件,三级场景词,场景:桌面,1,建议投放,520,低,0.45
卧室 金色 台灯 简约,二级属性词,场景:卧室,1,建议投放,2400,中,0.68
婚房 金色 摆件 套装,二级属性词,规格:套装; 场景:婚房,1,建议投放,980,中,0.50
饰品,不相关/宽泛词,-,1,建议否定,150000,高,2.50
家具,不相关/宽泛词,-,1,建议否定,200000,高,3.00
金色喷漆 摆件 DIY,一级核心词,-,1,仅Listing嵌入,180,低,0.25
客厅 大号 金色 落地 摆件,二级属性词,"规格:大号,落地; 场景:客厅",1,建议投放,650,中,0.72
